Age;Gender;Education Level;Job Title;Years of Experience; Salary 
32;Male;Bachelor's;Software Engineer;5; $90.000,00 
28;Female;Master's;Data Analyst;3; $65.000,00 
45;Male;PhD;Senior Manager;15; $150.000,00 
36;Female;Bachelor's;Sales Associate;7; $60.000,00 
52;Male;Master's;Director;20; $200.000,00 
29;Male;Bachelor's;Marketing Analyst;2; $55.000,00 
42;Female;Master's;Product Manager;12; $120.000,00 
31;Male;Bachelor's;Sales Manager;4; $80.000,00 
26;Female;Bachelor's;Marketing Coordinator;1; $45.000,00 
38;Male;PhD;Senior Scientist;10; $110.000,00 
29;Male;Master's;Software Developer;3; $75.000,00 
48;Female;Bachelor's;HR Manager;18; $140.000,00 
35;Male;Bachelor's;Financial Analyst;6; $65.000,00 
40;Female;Master's;Project Manager;14; $130.000,00 
27;Male;Bachelor's;Customer Service Rep;2; $40.000,00 
44;Male;Bachelor's;Operations Manager;16; $125.000,00 
33;Female;Master's;Marketing Manager;7; $90.000,00 
39;Male;PhD;Senior Engineer;12; $115.000,00 
25;Female;Bachelor's;Data Entry Clerk;0; $35.000,00 
51;Male;Bachelor's;Sales Director;22; $180.000,00 
34;Female;Master's;Business Analyst;5; $80.000,00 
47;Male;Master's;VP of Operations;19; $190.000,00 
30;Male;Bachelor's;IT Support;2; $50.000,00 
36;Female;Bachelor's;Recruiter;9; $60.000,00 
41;Male;Master's;Financial Manager;13; $140.000,00 
28;Female;Bachelor's;Social Media Specialist;3; $45.000,00 
37;Female;Master's;Software Manager;11; $110.000,00 
24;Male;Bachelor's;Junior Developer;1; $40.000,00 
43;Female;PhD;Senior Consultant;15; $140.000,00 
33;Male;Master's;Product Designer;6; $90.000,00 
50;Male;Bachelor's;CEO;25; $250.000,00 
31;Female;Bachelor's;Accountant;4; $55.000,00 
29;Male;Master's;Data Scientist;3; $75.000,00 
39;Female;Bachelor's;Marketing Specialist;10; $65.000,00 
46;Male;PhD;Senior Manager;20; $170.000,00 
27;Male;Bachelor's;Technical Writer;2; $45.000,00 
35;Female;Bachelor's;HR Generalist;7; $60.000,00 
42;Male;Master's;Project Engineer;14; $115.000,00 
26;Female;Bachelor's;Customer Success Rep;1; $40.000,00 
49;Male;Bachelor's;Sales Executive;21; $160.000,00 
34;Female;Master's;UX Designer;5; $80.000,00 
48;Male;Master's;Operations Director;18; $190.000,00 
30;Male;Bachelor's;Network Engineer;3; $60.000,00 
36;Female;Bachelor's;Administrative Assistant;8; $45.000,00 
41;Male;Master's;Strategy Consultant;13; $130.000,00 
28;Female;Bachelor's;Copywriter;2; $40.000,00 
32;Male;Bachelor's;Account Manager;5; $75.000,00 
45;Female;Master's;Director of Marketing;16; $180.000,00 
38;Male;PhD;Senior Scientist;11; $120.000,00 
25;Male;Bachelor's;Help Desk Analyst;0; $35.000,00 
51;Female;Bachelor's;Customer Service Manager;22; $130.000,00 
33;Male;Master's;Business Intelligence Analyst;7; $85.000,00 
40;Female;Bachelor's;Event Coordinator;12; $60.000,00 
47;Male;Master's;VP of Finance;19; $200.000,00 
29;Female;Bachelor's;Graphic Designer;3; $50.000,00 
36;Male;Bachelor's;Sales Manager;9; $95.000,00 
27;Female;Master's;UX Researcher;2; $65.000,00 
43;Male;PhD;Senior Engineer;17; $140.000,00 
30;Female;Bachelor's;Social Media Manager;4; $55.000,00 
35;Male;Master's;Product Manager;7; $105.000,00 
51;Female;Master's;Director of Operations;23; $170.000,00 
29;Male;Bachelor's;Marketing Analyst;3; $50.000,00 
40;Female;Bachelor's;HR Manager;12; $80.000,00 
47;Male;PhD;Senior Data Scientist;21; $180.000,00 
26;Male;Bachelor's;Junior Accountant;1; $35.000,00 
38;Female;Master's;Digital Marketing Manager;10; $90.000,00 
46;Male;Bachelor's;IT Manager;19; $120.000,00 
31;Female;Bachelor's;Customer Service Representative;5; $45.000,00 
34;Male;Master's;Business Development Manager;8; $90.000,00 
49;Female;Master's;Senior Financial Analyst;18; $150.000,00 
33;Male;Bachelor's;Web Developer;6; $65.000,00 
39;Female;Bachelor's;Recruiter;11; $70.000,00 
45;Male;PhD;Research Director;16; $190.000,00 
28;Male;Bachelor's;Technical Support Specialist;2; $40.000,00 
42;Female;Master's;Creative Director;14; $120.000,00 
37;Male;Bachelor's;Project Manager;10; $95.000,00 
50;Female;Bachelor's;Operations Manager;22; $160.000,00 
32;Male;Master's;Senior Software Engineer;6; $100.000,00 
48;Female;Master's;Human Resources Director;20; $180.000,00 
30;Female;Bachelor's;Content Marketing Manager;3; $55.000,00 
36;Male;Bachelor's;Technical Recruiter;8; $70.000,00 
41;Female;Master's;Data Analyst;13; $80.000,00 
25;Male;Bachelor's;Sales Representative;0; $30.000,00 
52;Male;PhD;Chief Technology Officer;24; $250.000,00 
29;Female;Bachelor's;Junior Designer;2; $40.000,00 
34;Female;Master's;Financial Advisor;10; $95.000,00 
27;Male;Bachelor's;Junior Account Manager;2; $45.000,00 
40;Female;Bachelor's;HR Generalist;15; $80.000,00 
46;Male;Master's;Senior Project Manager;21; $135.000,00 
31;Female;Bachelor's;Marketing Coordinator;6; $55.000,00 
36;Male;PhD;Principal Scientist;11; $120.000,00 
29;Female;Bachelor's;Sales Associate;3; $40.000,00 
43;Male;Bachelor's;Supply Chain Manager;18; $105.000,00 
52;Female;Master's;Senior Marketing Manager;25; $170.000,00 
33;Male;Bachelor's;Business Analyst;7; $75.000,00 
39;Female;Bachelor's;Training Specialist;12; $65.000,00 
47;Male;PhD;Research Scientist;22; $160.000,00 
26;Male;Bachelor's;Junior Software Developer;1; $35.000,00 
38;Female;Master's;Public Relations Manager;10; $90.000,00 
45;Male;Bachelor's;Operations Analyst;20; $110.000,00 
31;Female;Bachelor's;Event Coordinator;5; $45.000,00 
35;Male;Master's;Product Marketing Manager;8; $95.000,00 
49;Female;Master's;Senior HR Manager;19; $150.000,00 
33;Male;Bachelor's;Junior Web Developer;5; $50.000,00 
39;Female;Master's;Senior Project Coordinator;13; $80.000,00 
44;Male;PhD;Chief Data Officer;16; $220.000,00 
30;Female;Bachelor's;Digital Content Producer;3; $50.000,00 
36;Male;Bachelor's;IT Support Specialist;7; $60.000,00 
41;Female;Master's;Senior Marketing Analyst;14; $100.000,00 
28;Male;Bachelor's;Customer Success Manager;2; $40.000,00 
42;Female;Master's;Senior Graphic Designer;15; $110.000,00 
37;Male;Bachelor's;Software Project Manager;9; $95.000,00 
50;Female;Bachelor's;Supply Chain Analyst;22; $130.000,00 
32;Male;Master's;Senior Business Analyst;6; $90.000,00 
23;Female;Bachelor's;Junior Marketing Analyst;00.05; $35.000,00 
31;Male;Master's;Senior Financial Analyst;6; $95.000,00 
40;Female;Bachelor's;Office Manager;15; $65.000,00 
48;Male;PhD;Principal Engineer;20; $170.000,00 
29;Female;Bachelor's;Junior HR Generalist;3; $45.000,00 
35;Male;Master's;Senior Product Manager;10; $120.000,00 
42;Female;Bachelor's;Sales Manager;17; $100.000,00 
53;Male;Master's;Director of Marketing;25; $180.000,00 
33;Female;Bachelor's;Junior Operations Analyst;5; $50.000,00 
38;Male;Bachelor's;Customer Service Manager;11; $80.000,00 
44;Female;PhD;Senior Scientist;16; $140.000,00 
26;Male;Bachelor's;Junior Accountant;2; $40.000,00 
37;Female;Master's;Senior HR Generalist;9; $95.000,00 
45;Male;Bachelor's;Sales Operations Manager;18; $110.000,00 
32;Female;Bachelor's;Marketing Coordinator;4; $50.000,00 
34;Male;Master's;Senior Software Developer;8; $105.000,00 
50;Female;Master's;Director of Operations;21; $160.000,00 
29;Male;Bachelor's;Junior Web Designer;3; $45.000,00 
40;Female;Master's;Senior Training Specialist;12; $100.000,00 
47;Male;PhD;Senior Research Scientist;22; $160.000,00 
27;Male;Bachelor's;Junior Sales Representative;1; $35.000,00 
39;Female;Bachelor's;Administrative Assistant;10; $55.000,00 
46;Male;Master's;Senior Project Manager;19; $140.000,00 
30;Female;Bachelor's;Junior Marketing Manager;4; $50.000,00 
36;Male;Bachelor's;Junior Data Analyst;7; $60.000,00 
43;Female;Master's;Senior Product Marketing Manager;14; $120.000,00 
28;Male;Bachelor's;Junior Business Analyst;2; $40.000,00 
41;Female;Master's;Senior Marketing Manager;13; $110.000,00 
33;Male;Bachelor's;Junior Software Developer;5; $50.000,00 
47;Male;Bachelor's;Senior Sales Manager;20; $135.000,00 
25;Female;Master's;Junior Marketing Specialist;01.05; $40.000,00 
34;Male;Bachelor's;Senior Business Analyst;8; $90.000,00 
42;Female;PhD;Senior Data Scientist;16; $150.000,00 
31;Male;Bachelor's;Junior Project Manager;4; $60.000,00 
38;Female;Bachelor's;Senior Accountant;10; $80.000,00 
45;Male;Master's;Director of Sales;19; $175.000,00 
29;Female;Bachelor's;Junior Recruiter;3; $45.000,00 
36;Male;Master's;Senior Business Development Manager;11; $120.000,00 
43;Female;PhD;Senior Product Designer;18; $140.000,00 
26;Male;Bachelor's;Junior Customer Support Specialist;2; $35.000,00 
37;Female;Master's;Senior Marketing Analyst;9; $95.000,00 
44;Male;Bachelor's;Senior IT Support Specialist;14; $110.000,00 
32;Female;Bachelor's;Junior Financial Analyst;5; $50.000,00 
33;Male;Master's;Senior Operations Manager;7; $115.000,00 
51;Female;PhD;Director of Human Resources;23; $185.000,00 
28;Male;Bachelor's;Junior Software Engineer;2; $40.000,00 
39;Female;Bachelor's;Senior Sales Representative;12; $90.000,00 
48;Male;Master's;Director of Product Management;21; $175.000,00 
30;Female;Bachelor's;Junior Copywriter;3; $45.000,00 
35;Male;Bachelor's;Senior Marketing Coordinator;7; $80.000,00 
41;Female;Master's;Senior Human Resources Manager;13; $120.000,00 
27;Male;Bachelor's;Junior Business Development Associate;01.05; $35.000,00 
40;Female;Bachelor's;Senior Account Manager;14; $110.000,00 
46;Male;PhD;Senior Researcher;18; $150.000,00 
31;Female;Bachelor's;Junior HR Coordinator;4; $50.000,00 
34;Male;Master's;Senior Software Engineer;9; $105.000,00 
50;Female;Master's;Director of Finance;20; $180.000,00 
29;Male;Bachelor's;Junior Marketing Coordinator;2; $40.000,00 
;;;;;
43;Male;Bachelor's;Senior Project Manager;16; $140.000,00 
26;Female;Master's;Junior Data Scientist;01.05; $45.000,00 
35;Male;Bachelor's;Senior Operations Analyst;7; $85.000,00 
42;Female;PhD;Senior Marketing Manager;18; $140.000,00 
31;Male;Bachelor's;Junior Accountant;4; $50.000,00 
38;Female;Bachelor's;Senior Human Resources Coordinator;10; $80.000,00 
46;Male;Master's;Director of Operations;20; $170.000,00 
29;Female;Bachelor's;Junior Sales Representative;2; $40.000,00 
37;Male;Master's;Senior Business Analyst;9; $105.000,00 
44;Female;PhD;Senior UX Designer;15; $145.000,00 
27;Male;Bachelor's;Junior Product Manager;2; $40.000,00 
36;Female;Bachelor's;Senior Marketing Specialist;8; $85.000,00 
43;Male;Bachelor's;Senior IT Project Manager;14; $130.000,00 
33;Female;Master's;Senior Financial Analyst;6; $95.000,00 
34;Male;Bachelor's;Senior Quality Assurance Analyst;9; $100.000,00 
50;Female;PhD;Director of Sales and Marketing;22; $180.000,00 
28;Male;Bachelor's;Junior Operations Analyst;01.05; $35.000,00 
39;Female;Bachelor's;Senior Account Executive;12; $95.000,00 
47;Male;Master's;Director of Business Development;19; $170.000,00 
30;Female;Bachelor's;Junior Social Media Manager;3; $45.000,00 
34;Male;Bachelor's;Senior Product Manager;7; $95.000,00 
40;Female;Master's;Senior Human Resources Specialist;13; $120.000,00 
28;Male;Bachelor's;Junior Business Analyst;2; $40.000,00 
41;Female;Bachelor's;Senior Marketing Coordinator;11; $90.000,00 
45;Male;PhD;Senior Data Analyst;17; $155.000,00 
32;Female;Bachelor's;Junior Account Manager;5; $55.000,00 
35;Male;Master's;Senior Software Developer;9; $110.000,00 
49;Female;Master's;Director of Human Capital;21; $180.000,00 
30;Male;Bachelor's;Junior Advertising Coordinator;3; $45.000,00 
44;Male;Bachelor's;Senior Sales Manager;16; $130.000,00 
27;Female;Master's;Junior UX Designer;01.05; $45.000,00 
36;Male;Bachelor's;Senior Accountant;7; $90.000,00 
41;Female;PhD;Senior Marketing Director;17; $160.000,00 
31;Male;Bachelor's;Junior HR Generalist;4; $50.000,00 
39;Female;Bachelor's;Senior Operations Manager;10; $120.000,00 
47;Male;Master's;Director of Finance;20; $170.000,00 
30;Female;Bachelor's;Junior Marketing Coordinator;2; $40.000,00 
38;Male;Master's;Senior IT Consultant;9; $110.000,00 
45;Female;PhD;Senior Product Designer;15; $150.000,00 
28;Male;Bachelor's;Junior Business Development Associate;2; $40.000,00 
35;Female;Bachelor's;Senior Marketing Analyst;8; $85.000,00 
44;Male;Bachelor's;Senior Software Engineer;14; $130.000,00 
34;Female;Master's;Senior Financial Advisor;6; $100.000,00 
35;Male;Bachelor's;Senior Project Coordinator;9; $95.000,00 
50;Female;PhD;Director of Operations;22; $180.000,00 
29;Male;Bachelor's;Junior Business Operations Analyst;01.05; $35.000,00 
40;Female;Bachelor's;Senior Sales Representative;12; $100.000,00 
48;Male;Master's;Director of Marketing;19; $170.000,00 
31;Female;Bachelor's;Junior Social Media Specialist;3; $45.000,00 
33;Male;Bachelor's;Senior Product Development Manager;7; $100.000,00 
42;Female;Master's;Senior Human Resources Manager;13; $140.000,00 
28;Male;Bachelor's;Junior Financial Analyst;2; $40.000,00 
40;Female;Bachelor's;Senior Marketing Manager;11; $105.000,00 
46;Male;PhD;Senior Data Scientist;18; $160.000,00 
33;Female;Bachelor's;Junior Operations Manager;5; $70.000,00 
37;Male;Master's;Senior Software Architect;9; $120.000,00 
51;Female;Master's;Director of Human Resources;21; $190.000,00 
30;Male;Bachelor's;Junior Marketing Specialist;3; $45.000,00 
43;Male;Bachelor's;Senior Project Manager;15; $120.000,00 
27;Female;Master's;Junior Research Scientist;01.05; $50.000,00 
35;Male;Bachelor's;Senior Operations Analyst;8; $85.000,00 
42;Female;PhD;Senior Marketing Manager;13; $140.000,00 
32;Male;Bachelor's;Junior Sales Representative;3; $45.000,00 
37;Female;Bachelor's;Senior Financial Analyst;9; $100.000,00 
45;Male;Master's;Senior Software Developer;16; $140.000,00 
33;Female;Bachelor's;Junior Operations Analyst;5; $70.000,00 
39;Male;Bachelor's;Senior Marketing Specialist;10; $120.000,00 
44;Female;PhD;Senior HR Manager;18; $160.000,00 
29;Male;Bachelor's;Junior Business Analyst;01.05; $40.000,00 
38;Female;Bachelor's;Senior Product Manager;10; $120.000,00 
46;Male;PhD;Senior Data Analyst;19; $150.000,00 
34;Female;Bachelor's;Junior Marketing Analyst;6; $70.000,00 
36;Male;Bachelor's;Senior Operations Manager;8; $95.000,00 
49;Female;Master's;Director of Marketing;21; $180.000,00 
31;Male;Bachelor's;Junior Financial Analyst;3; $50.000,00 
41;Female;Bachelor's;Senior Project Coordinator;11; $95.000,00 
47;Male;Master's;Director of Operations;20; $170.000,00 
30;Female;Bachelor's;Junior Marketing Coordinator;2; $40.000,00 
38;Male;Master's;Senior IT Consultant;9; $110.000,00 
45;Female;PhD;Senior Product Designer;15; $150.000,00 
28;Male;Bachelor's;Junior Business Development Associate;2; $40.000,00 
35;Female;Bachelor's;Senior Marketing Analyst;8; $85.000,00 
44;Male;Bachelor's;Senior Software Engineer;14; $130.000,00 
34;Female;Master's;Senior Financial Advisor;6; $100.000,00 
35;Male;Bachelor's;Senior Project Coordinator;9; $95.000,00 
50;Female;PhD;Director of Operations;22; $180.000,00 
29;Male;Bachelor's;Junior Business Operations Analyst;01.05; $350,00 
;;;;;
37;Female;Bachelor's;Senior Financial Manager;10; $120.000,00 
46;Male;PhD;Senior Data Scientist;18; $160.000,00 
31;Female;Bachelor's;Junior Marketing Coordinator;3; $50.000,00 
42;Male;Bachelor's;Senior Operations Manager;12; $110.000,00 
29;Female;Bachelor's;Junior Sales Representative;01.05; $40.000,00 
36;Male;Bachelor's;Senior Marketing Specialist;8; $95.000,00 
44;Female;Master's;Senior HR Specialist;15; $140.000,00 
33;Male;Bachelor's;Junior Operations Manager;4; $60.000,00 
39;Female;Bachelor's;Senior Marketing Coordinator;9; $110.000,00 
45;Male;PhD;Senior Data Engineer;16; $150.000,00 
32;Female;Bachelor's;Junior Marketing Manager;4; $60.000,00 
37;Male;Bachelor's;Senior Financial Analyst;8; $90.000,00 
47;Female;Master's;Director of Marketing;20; $180.000,00 
30;Male;Bachelor's;Junior Business Analyst;2; $40.000,00 
38;Female;Bachelor's;Senior Project Manager;9; $120.000,00 
46;Male;PhD;Senior Data Analyst;17; $160.000,00 
34;Female;Bachelor's;Junior Financial Analyst;5; $70.000,00 
36;Male;Bachelor's;Senior Product Manager;8; $95.000,00 
49;Female;Master's;Director of Operations;21; $180.000,00 
31;Male;Bachelor's;Junior Operations Analyst;3; $50.000,00 
41;Female;Bachelor's;Senior Project Coordinator;11; $95.000,00 
47;Male;Master's;Director of Marketing;19; $170.000,00 
29;Female;Bachelor's;Junior Business Development Associate;01.05; $35.000,00 
35;Male;Bachelor's;Senior Financial Manager;9; $100.000,00 
44;Female;PhD;Senior Product Designer;15; $150.000,00 
33;Male;Bachelor's;Junior Business Analyst;4; $60.000,00 
35;Female;Bachelor's;Senior Marketing Analyst;8; $85.000,00 
44;Male;Bachelor's;Senior Software Engineer;13; $130.000,00 
32;Male;Bachelor's;Junior Product Manager;4; $65.000,00 
38;Female;Bachelor's;Senior Business Analyst;10; $110.000,00 
49;Male;PhD;Director of Operations;21; $180.000,00 
29;Female;Bachelor's;Junior Marketing Specialist;2; $40.000,00 
35;Male;Bachelor's;Senior Business Development Manager;7; $90.000,00 
45;Female;Master's;Senior HR Manager;14; $140.000,00 
33;Male;Bachelor's;Junior Financial Analyst;4; $60.000,00 
40;Female;Bachelor's;Senior Marketing Manager;12; $130.000,00 
44;Male;PhD;Senior Data Scientist;16; $160.000,00 
30;Female;Bachelor's;Junior Operations Coordinator;2; $40.000,00 
37;Male;Bachelor's;Senior Marketing Analyst;9; $100.000,00 
48;Female;Master's;Director of HR;20; $180.000,00 
31;Male;Bachelor's;Junior Project Manager;3; $55.000,00 
38;Female;Bachelor's;Senior Operations Coordinator;9; $120.000,00 
45;Male;PhD;Senior Data Engineer;16; $150.000,00 
33;Female;Bachelor's;Junior Marketing Manager;5; $70.000,00 
36;Male;Bachelor's;Senior Business Analyst;8; $95.000,00 
49;Female;Master's;Director of Marketing;21; $180.000,00 
31;Male;Bachelor's;Junior Operations Analyst;3; $50.000,00 
42;Female;Bachelor's;Senior Project Manager;12; $120.000,00 
47;Male;Master's;Director of Marketing;19; $170.000,00 
29;Female;Bachelor's;Junior Business Development Associate;01.05; $35.000,00 
35;Male;Bachelor's;Senior Financial Manager;9; $100.000,00 
44;Female;PhD;Senior Product Designer;15; $150.000,00 
33;Male;Bachelor's;Junior Business Analyst;4; $60.000,00 
35;Female;Bachelor's;Senior Marketing Analyst;8; $85.000,00 
44;Male;Bachelor's;Senior Software Engineer;13; $130.000,00 
34;Female;Master's;Senior Financial Advisor;6; $80.000,00 
36;Male;Bachelor's;Senior Marketing Specialist;8; $95.000,00 
30;Female;Bachelor's;Junior HR Coordinator;2; $40.000,00 
37;Male;Bachelor's;Senior Business Development Manager;10; $120.000,00 
45;Female;Master's;Senior Marketing Manager;16; $160.000,00 
32;Male;Bachelor's;Junior Financial Advisor;4; $65.000,00 
39;Female;Bachelor's;Senior Project Manager;12; $130.000,00 
47;Male;PhD;Director of Engineering;20; $180.000,00 
29;Female;Bachelor's;Junior Marketing Analyst;2; $40.000,00 
36;Male;Bachelor's;Senior Operations Manager;9; $100.000,00 
43;Female;PhD;Senior Data Scientist;15; $150.000,00 
32;Male;Bachelor's;Junior Marketing Coordinator;3; $55.000,00 
38;Female;Bachelor's;Senior Business Analyst;10; $110.000,00 
48;Male;Master's;Director of Marketing;21; $180.000,00 
31;Female;Bachelor's;Junior Business Development Associate;3; $50.000,00 
40;Male;Bachelor's;Senior Financial Analyst;12; $130.000,00 
45;Female;PhD;Senior UX Designer;16; $160.000,00 
33;Male;Bachelor's;Junior Product Manager;4; $60.000,00 
36;Female;Bachelor's;Senior Marketing Manager;8; $95.000,00 
47;Male;Master's;Director of Operations;19; $170.000,00 
29;Female;Bachelor's;Junior Project Manager;2; $40.000,00 
34;Male;Bachelor's;Senior Operations Coordinator;7; $90.000,00 
44;Female;PhD;Senior Business Analyst;15; $150.000,00 
33;Male;Bachelor's;Junior Marketing Specialist;5; $70.000,00 
35;Female;Bachelor's;Senior Financial Manager;8; $90.000,00 
43;Male;Master's;Director of Marketing;18; $170.000,00 
31;Female;Bachelor's;Junior Financial Analyst;3; $50.000,00 
41;Male;Bachelor's;Senior Product Manager;14; $150.000,00 
44;Female;PhD;Senior Data Engineer;16; $160.000,00 
33;Male;Bachelor's;Junior Business Analyst;4; $60.000,00 
35;Female;Bachelor's;Senior Marketing Analyst;8; $85.000,00 
45;Male;Master's;Director of Engineering;19; $180.000,00 
28;Female;Bachelor's;Junior Operations Manager;1; $35.000,00 
36;Male;Bachelor's;Senior Business Development Manager;8; $110.000,00 
44;Female;PhD;Senior Data Scientist;16; $160.000,00 
31;Male;Bachelor's;Junior Marketing Coordinator;3; $55.000,00 
38;Female;Bachelor's;Senior Business Analyst;10; $110.000,00 
48;Male;Master's;Director of Marketing;21; $180.000,00 
31;Female;Bachelor's;Junior Business Development Associate;3; $50.000,00 
40;Male;Bachelor's;Senior Financial Analyst;12; $130.000,00 
45;Female;PhD;Senior UX Designer;16; $160.000,00 
33;Male;Bachelor's;Junior Product Manager;4; $60.000,00 
36;Female;Bachelor's;Senior Marketing Manager;8; $95.000,00 
47;Male;Master's;Director of Operations;19; $170.000,00 
29;Female;Bachelor's;Junior Project Manager;2; $40.000,00 
34;Male;Bachelor's;Senior Operations Coordinator;7; $90.000,00 
44;Female;PhD;Senior Business Analyst;15; $150.000,00 
33;Male;Bachelor's;Junior Marketing Specialist;5; $70.000,00 
35;Female;Bachelor's;Senior Financial Manager;8; $90.000,00 
43;Male;Master's;Director of Marketing;18; $170.000,00 
31;Female;Bachelor's;Junior Financial Analyst;3; $50.000,00 
41;Male;Bachelor's;Senior Product Manager;14; $150.000,00 
44;Female;PhD;Senior Data Engineer;16; $160.000,00 
33;Male;Bachelor's;Junior Business Analyst;4; $60.000,00 
35;Female;Bachelor's;Senior Marketing Analyst;8; $85.000,00 
43;Male;Master's;Director of Operations;19; $170.000,00 
29;Female;Bachelor's;Junior Project Manager;2; $40.000,00 
34;Male;Bachelor's;Senior Operations Coordinator;7; $90.000,00 
44;Female;PhD;Senior Business Analyst;15; $150.000,00 
